goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	12392884350 ns/op	3795644528 B/op	     765 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	7757070624 ns/op	3795644976 B/op	     766 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	8665715040 ns/op	3795644528 B/op	     765 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	14578365420 ns/op	3795649536 B/op	     770 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	9635834116 ns/op	3795644528 B/op	     765 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	7138625235 ns/op	3795644976 B/op	     766 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	15735691695 ns/op	3795644528 B/op	     765 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	11015729845 ns/op	3795644544 B/op	     765 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	6041192147 ns/op	3795644528 B/op	     765 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	19956799713 ns/op	3795644544 B/op	     765 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	7078006298 ns/op	5124347280 B/op	    3303 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	9628088167 ns/op	5124347744 B/op	    3304 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	18508573383 ns/op	5124347280 B/op	    3303 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	12355983622 ns/op	5124347280 B/op	    3303 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	9394598227 ns/op	5124347296 B/op	    3303 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	14522319608 ns/op	5124347920 B/op	    3306 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	15147669773 ns/op	5124347296 B/op	    3303 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	12702778407 ns/op	5124347280 B/op	    3303 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	8944815917 ns/op	5124347296 B/op	    3303 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	6897549917 ns/op	5124347296 B/op	    3303 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	12938858247 ns/op	4682842056 B/op	    2472 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	17706332018 ns/op	4682842056 B/op	    2472 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	23450750852 ns/op	4682842936 B/op	    2474 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	17421445131 ns/op	4682842072 B/op	    2474 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	31241446512 ns/op	4682842040 B/op	    2472 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	40473596542 ns/op	4682842232 B/op	    2474 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	21582186368 ns/op	4682842056 B/op	    2472 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	20797567006 ns/op	4682843128 B/op	    2476 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	25571237224 ns/op	4682842984 B/op	    2477 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	28580913012 ns/op	4682842040 B/op	    2472 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	22099255808 ns/op	3796693976 B/op	     794 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	28175930182 ns/op	3796694856 B/op	     796 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	32011730432 ns/op	3796693960 B/op	     794 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	22771208938 ns/op	3796695304 B/op	     797 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	22862274951 ns/op	3796694056 B/op	     795 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	28979197160 ns/op	3796694008 B/op	     796 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	8852399244 ns/op	3796693960 B/op	     794 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	36152777015 ns/op	3796694968 B/op	     797 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	24357921573 ns/op	3796693976 B/op	     794 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	37634821089 ns/op	3796694856 B/op	     796 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	6426184432 ns/op	4682843960 B/op	    2491 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	17360385838 ns/op	4682842616 B/op	    2489 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	5998509615 ns/op	4682842616 B/op	    2489 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	22386164615 ns/op	4682842600 B/op	    2488 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	21424825700 ns/op	4682842616 B/op	    2488 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	28097317910 ns/op	4682843512 B/op	    2490 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	24508125139 ns/op	4682842616 B/op	    2488 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	31652461156 ns/op	4682843048 B/op	    2489 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	28396298576 ns/op	4682842600 B/op	    2488 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=3/reduction=mixed-128         	       1	19308628078 ns/op	4682842616 B/op	    2489 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	19751148475 ns/op	4462635968 B/op	    2065 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	23062815729 ns/op	4462635968 B/op	    2064 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	11074746206 ns/op	4462635952 B/op	    2063 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	16894034846 ns/op	4462635968 B/op	    2065 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	18462583988 ns/op	4462636848 B/op	    2065 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	16305200914 ns/op	4462635936 B/op	    2063 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	16924578565 ns/op	4462635952 B/op	    2063 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	19941355584 ns/op	4462635936 B/op	    2063 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	13998886747 ns/op	4462635936 B/op	    2063 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=sweep-128         	       1	20556794875 ns/op	4462635936 B/op	    2063 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	9810356078 ns/op	3797761344 B/op	     831 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	16689917826 ns/op	3797761344 B/op	     831 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	19012354672 ns/op	3797761344 B/op	     831 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	25548440531 ns/op	3797761344 B/op	     831 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	21730235750 ns/op	3797761344 B/op	     831 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	11890014919 ns/op	3797761328 B/op	     831 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	17551966863 ns/op	3797761440 B/op	     832 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	16382185472 ns/op	3797761344 B/op	     831 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	16944383228 ns/op	3797761344 B/op	     831 allocs/op
