goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	5454819101 ns/op	1682235424 B/op	    1127 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	1245213016 ns/op	1682235440 B/op	    1127 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	5100520393 ns/op	1121178856 B/op	      50 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	1628535137 ns/op	1121178856 B/op	      50 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	7835123453 ns/op	1121178872 B/op	      50 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	2371845789 ns/op	1121178856 B/op	      50 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	1354742238 ns/op	1121178872 B/op	      50 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	2437139947 ns/op	1121178856 B/op	      50 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	2951247766 ns/op	1121178856 B/op	      50 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	1684563706 ns/op	1121178856 B/op	      50 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	3825790221 ns/op	1121178872 B/op	      50 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	3325444759 ns/op	1121178872 B/op	      50 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	2173620884 ns/op	1682235440 B/op	    1127 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	3313493213 ns/op	1682235424 B/op	    1127 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	1357228698 ns/op	1682235440 B/op	    1127 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	4126681839 ns/op	1682235424 B/op	    1127 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	1272464145 ns/op	1682235424 B/op	    1127 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	5575897890 ns/op	1682235424 B/op	    1127 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	2393894146 ns/op	1682235440 B/op	    1127 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	8589387371 ns/op	1682235440 B/op	    1127 allocs/op
