goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=sweep-128      	       1	3578693365 ns/op	1330422672 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	2451346014 ns/op	769361024 B/op	      74 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	2558093894 ns/op	769361024 B/op	      74 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	2637564568 ns/op	769361024 B/op	      74 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	2180253974 ns/op	769361024 B/op	      74 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	2577495920 ns/op	769361040 B/op	      74 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	1747367829 ns/op	769361040 B/op	      74 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	1371789685 ns/op	769361024 B/op	      74 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	1833884486 ns/op	769361040 B/op	      74 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	2272144358 ns/op	769361024 B/op	      74 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=parallel-128   	       1	2171209316 ns/op	769361024 B/op	      74 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	2585454332 ns/op	1330422672 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	2992270667 ns/op	1330422656 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	4587182363 ns/op	1330422672 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	4447799182 ns/op	1330422672 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	3283954364 ns/op	1330422672 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	2626420239 ns/op	1330422656 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	3648426374 ns/op	1330422656 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	4033014848 ns/op	1330422672 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	4651073784 ns/op	1330422672 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=2/reduction=mixed-128      	       1	3584576164 ns/op	1330422672 B/op	    1156 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	2667502516 ns/op	1063553208 B/op	     830 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	3688916256 ns/op	1063553288 B/op	     831 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	3488970074 ns/op	1063553288 B/op	     831 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	3820972098 ns/op	1063553208 B/op	     830 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	2253911756 ns/op	1063553304 B/op	     831 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	3422072456 ns/op	1063553304 B/op	     831 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	3238745861 ns/op	1063553224 B/op	     830 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	3494304571 ns/op	1063553208 B/op	     830 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	2887408225 ns/op	1063553288 B/op	     831 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=sweep-128      	       1	2041294287 ns/op	1063553224 B/op	     830 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	2446812116 ns/op	689162328 B/op	     115 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	1310947494 ns/op	689162248 B/op	     114 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3487750946 ns/op	689162232 B/op	     114 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3116033494 ns/op	689162232 B/op	     114 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	3387497053 ns/op	689162232 B/op	     114 allocs/op
BenchmarkParseOnly/strategy=COPP/file=emojis-1000.json/goroutines=3/reduction=parallel-128   	       1	1946956202 ns/op	689162232 B/op	     114 allocs/op
