goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	14899433891 ns/op	6073424072 B/op	    5141 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	34883796759 ns/op	6073424472 B/op	    5140 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	26509281938 ns/op	6073423592 B/op	    5138 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	11694693047 ns/op	6073423576 B/op	    5138 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	16479386958 ns/op	6073424680 B/op	    5142 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	16157151027 ns/op	6073423576 B/op	    5138 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	18643184408 ns/op	6073424040 B/op	    5139 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	14052528751 ns/op	6073423576 B/op	    5138 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	16245690734 ns/op	6073424232 B/op	    5141 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	35140003924 ns/op	7402126984 B/op	    7679 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	39290476181 ns/op	7402126440 B/op	    7677 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	11837966523 ns/op	7402126792 B/op	    7677 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	12340816424 ns/op	7402126872 B/op	    7678 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	35731660433 ns/op	7402126776 B/op	    7677 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	30477172474 ns/op	7402125944 B/op	    7678 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	26111436551 ns/op	7402127000 B/op	    7681 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	11942754337 ns/op	7402126968 B/op	    7679 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	37883709166 ns/op	7402126984 B/op	    7679 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	17942084093 ns/op	7402126344 B/op	    7676 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	13694717485 ns/op	6960615000 B/op	    6855 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	19863076829 ns/op	6960613416 B/op	    6854 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	21068302577 ns/op	6960613384 B/op	    6853 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	10399290995 ns/op	6960614296 B/op	    6855 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	28088366143 ns/op	6960614120 B/op	    6854 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	22598936075 ns/op	6960614104 B/op	    6853 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	19943611296 ns/op	6960614280 B/op	    6855 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	29433712846 ns/op	6960614280 B/op	    6855 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	18490994360 ns/op	6960613640 B/op	    6852 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	15594991998 ns/op	6960613656 B/op	    6852 allocs/op
