goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	11461622774 ns/op	3831855376 B/op	     790 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	20780990506 ns/op	3831855808 B/op	     791 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	12356246729 ns/op	3831855360 B/op	     790 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	13284391184 ns/op	3831855824 B/op	     791 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	13527843585 ns/op	3831855376 B/op	     790 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	13991166386 ns/op	3831855456 B/op	     795 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	14247133144 ns/op	3831855376 B/op	     790 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	19274049158 ns/op	3831855376 B/op	     790 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	24373664716 ns/op	3831855360 B/op	     790 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	13175104373 ns/op	3831855808 B/op	     791 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	24892125893 ns/op	5447868608 B/op	    3334 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	20935860932 ns/op	5447869056 B/op	    3335 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	15467048875 ns/op	5447868624 B/op	    3335 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	13294706118 ns/op	5447868608 B/op	    3334 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	16402624241 ns/op	5447868624 B/op	    3334 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	13494659401 ns/op	5447868624 B/op	    3334 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	16659329088 ns/op	5447869072 B/op	    3335 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	16437225517 ns/op	5447868608 B/op	    3334 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	15838832795 ns/op	5447868624 B/op	    3334 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	14587112288 ns/op	5447868624 B/op	    3334 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	19503384368 ns/op	4595322216 B/op	    2518 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	14068482573 ns/op	4595321400 B/op	    2517 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	16007850468 ns/op	4595321336 B/op	    2516 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	17241452935 ns/op	4595322216 B/op	    2518 allocs/op
