goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	20249524935 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	25926961627 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	16555546726 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	8231166346 ns/op	2494474024 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	35790914037 ns/op	2494474024 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	31047581747 ns/op	2494474024 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	6714133617 ns/op	2494474040 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	8328794795 ns/op	2494474040 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	21393767114 ns/op	2494474024 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	21304634042 ns/op	2494474024 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	9609747662 ns/op	2494474024 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	11615398221 ns/op	2494474040 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	32802668315 ns/op	2494474024 B/op	     724 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	12652278329 ns/op	3742422832 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	19200547920 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	10523080607 ns/op	3742422832 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	16319052543 ns/op	3742422848 B/op	    3110 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	29049746696 ns/op	3742422880 B/op	    3112 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	10048291290 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	5290918594 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	16020489425 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	19404180089 ns/op	3742422816 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	5978289895 ns/op	3742422832 B/op	    3109 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	13918399307 ns/op	3329239584 B/op	    2333 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	11420817976 ns/op	3329239600 B/op	    2333 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	19469075045 ns/op	3329239600 B/op	    2333 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	7376705809 ns/op	3329239584 B/op	    2333 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	18709198151 ns/op	3329239600 B/op	    2333 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	18460183292 ns/op	3329239600 B/op	    2333 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	25129246476 ns/op	3329239600 B/op	    2333 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	33713656129 ns/op	3329239584 B/op	    2333 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	14647592418 ns/op	3329239600 B/op	    2333 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	22022630814 ns/op	3329239600 B/op	    2333 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	15031390767 ns/op	2496572392 B/op	     756 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	14742701249 ns/op	2496572376 B/op	     756 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	14356586755 ns/op	2496572392 B/op	     756 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	14500465862 ns/op	2496572392 B/op	     756 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	21452719035 ns/op	2496572392 B/op	     756 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	9666475715 ns/op	2496572392 B/op	     756 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	20004433830 ns/op	2496572376 B/op	     756 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	11586082675 ns/op	2496572392 B/op	     756 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	25142165737 ns/op	2496572376 B/op	     756 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	25684246689 ns/op	2496572392 B/op	     756 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	23581229631 ns/op	3329240160 B/op	    2349 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	23476693605 ns/op	3329240160 B/op	    2349 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	24336961916 ns/op	3329240160 B/op	    2349 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	28856141372 ns/op	3329240144 B/op	    2349 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	22016530678 ns/op	3329240160 B/op	    2349 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	11184115965 ns/op	3329240144 B/op	    2349 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	9378411425 ns/op	3329240160 B/op	    2349 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	10586339408 ns/op	3329240160 B/op	    2349 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	18979300226 ns/op	3329240144 B/op	    2349 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	17503093712 ns/op	3329240144 B/op	    2349 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	9316451173 ns/op	3118449248 B/op	    1943 allocs/op
