goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=sweep-128         	       1	225180455224 ns/op	106132155568 B/op	   67158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=parallel-128      	       1	152099027487 ns/op	72909083696 B/op	   14979 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=parallel-128      	       1	175334429615 ns/op	72909083248 B/op	   14978 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=parallel-128      	       1	160920398533 ns/op	72909083248 B/op	   14978 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=parallel-128      	       1	167089977337 ns/op	72909083248 B/op	   14978 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=parallel-128      	       1	172412346613 ns/op	72909083248 B/op	   14978 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=parallel-128      	       1	185133856417 ns/op	72909083248 B/op	   14978 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=parallel-128      	       1	156705733115 ns/op	72909083248 B/op	   14978 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=parallel-128      	       1	166004526314 ns/op	72909083248 B/op	   14978 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=parallel-128      	       1	140084596345 ns/op	72909083248 B/op	   14978 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=parallel-128      	       1	163615741288 ns/op	72909083248 B/op	   14978 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=mixed-128         	       1	193905272109 ns/op	106132156016 B/op	   67159 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=mixed-128         	       1	284061256442 ns/op	106132155568 B/op	   67158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=mixed-128         	       1	194649886643 ns/op	106132155568 B/op	   67158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=mixed-128         	       1	251925156319 ns/op	106132155568 B/op	   67158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=mixed-128         	       1	187106553492 ns/op	106132155568 B/op	   67158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=mixed-128         	       1	239290073431 ns/op	106132155568 B/op	   67158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=mixed-128         	       1	220434347676 ns/op	106132155568 B/op	   67158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=mixed-128         	       1	243521510610 ns/op	106132156016 B/op	   67159 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=mixed-128         	       1	264554283905 ns/op	106132155568 B/op	   67158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=2/reduction=mixed-128         	       1	199317262712 ns/op	106132155568 B/op	   67158 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=sweep-128         	       1	202542623849 ns/op	105339460704 B/op	   49802 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=sweep-128         	       1	214496645871 ns/op	105339460704 B/op	   49802 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=sweep-128         	       1	179854991651 ns/op	105339461440 B/op	   49802 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=sweep-128         	       1	203493465722 ns/op	105339460784 B/op	   49803 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=sweep-128         	       1	195345888497 ns/op	105339460624 B/op	   49801 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=sweep-128         	       1	175117201907 ns/op	105339460784 B/op	   49803 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=sweep-128         	       1	215748460860 ns/op	105339460784 B/op	   49803 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=sweep-128         	       1	213690306293 ns/op	105339461760 B/op	   49806 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=sweep-128         	       1	205037751202 ns/op	105339461152 B/op	   49803 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=sweep-128         	       1	194208930081 ns/op	105339460784 B/op	   49803 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=parallel-128      	       1	181207480246 ns/op	83187243672 B/op	   15018 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=parallel-128      	       1	171954736775 ns/op	83187243672 B/op	   15018 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=parallel-128      	       1	213847413905 ns/op	83187244120 B/op	   15019 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=parallel-128      	       1	182302366873 ns/op	83187244568 B/op	   15020 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=parallel-128      	       1	163547409726 ns/op	83187245096 B/op	   15022 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=parallel-128      	       1	208033049475 ns/op	83187243672 B/op	   15018 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=parallel-128      	       1	166236773615 ns/op	83187243672 B/op	   15018 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=parallel-128      	       1	186355128165 ns/op	83187243672 B/op	   15018 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=parallel-128      	       1	171403123157 ns/op	83187243672 B/op	   15018 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=parallel-128      	       1	156871510038 ns/op	83187244568 B/op	   15020 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=mixed-128         	       1	207397747646 ns/op	105339459416 B/op	   49810 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=mixed-128         	       1	209468333811 ns/op	105339459496 B/op	   49811 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=mixed-128         	       1	209329138155 ns/op	105339460312 B/op	   49812 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=mixed-128         	       1	191123527830 ns/op	105339459944 B/op	   49812 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=mixed-128         	       1	147840197482 ns/op	105339459416 B/op	   49810 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=mixed-128         	       1	193560751048 ns/op	105339459864 B/op	   49811 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=mixed-128         	       1	222758693805 ns/op	105339459416 B/op	   49810 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=mixed-128         	       1	200546575531 ns/op	105339459416 B/op	   49810 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=mixed-128         	       1	185556143696 ns/op	105339459416 B/op	   49810 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=3/reduction=mixed-128         	       1	216552177960 ns/op	105339459864 B/op	   49811 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=sweep-128         	       1	149361410205 ns/op	89533776312 B/op	   41126 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=sweep-128         	       1	178879230199 ns/op	89533776840 B/op	   41128 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=sweep-128         	       1	195329049766 ns/op	89533776024 B/op	   41127 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=sweep-128         	       1	141081314613 ns/op	89533775864 B/op	   41125 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=sweep-128         	       1	140149111823 ns/op	89533776840 B/op	   41128 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=sweep-128         	       1	146854467681 ns/op	89533775864 B/op	   41125 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=sweep-128         	       1	195483026461 ns/op	89533775704 B/op	   41123 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=sweep-128         	       1	179175235087 ns/op	89533776104 B/op	   41128 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=sweep-128         	       1	146596299017 ns/op	89533776024 B/op	   41127 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=sweep-128         	       1	153161430380 ns/op	89533775864 B/op	   41125 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=parallel-128      	       1	122488527331 ns/op	72919606832 B/op	   15059 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=parallel-128      	       1	156144369904 ns/op	72919605744 B/op	   15055 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=parallel-128      	       1	159259835859 ns/op	72919605808 B/op	   15056 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=parallel-128      	       1	151126797278 ns/op	72919606272 B/op	   15057 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=parallel-128      	       1	136465473808 ns/op	72919606272 B/op	   15057 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=parallel-128      	       1	185787980800 ns/op	72919605728 B/op	   15055 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=parallel-128      	       1	145398287200 ns/op	72919605824 B/op	   15056 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots-big.json/goroutines=4/reduction=parallel-128      	       1	155162331279 ns/op	72919605744 B/op	   15055 allocs/op
