goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	18193097803 ns/op	4811380448 B/op	    3105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	12666420541 ns/op	4811380448 B/op	    3105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	27142075398 ns/op	4811380432 B/op	    3105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	27737713775 ns/op	3563431664 B/op	     721 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	6514372509 ns/op	3563431664 B/op	     721 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	35265897814 ns/op	3563431680 B/op	     721 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	32065204922 ns/op	3563431680 B/op	     721 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	8571064523 ns/op	3563431664 B/op	     721 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	14976346064 ns/op	3563431664 B/op	     721 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	23467381192 ns/op	3563431664 B/op	     721 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	30775273171 ns/op	3563431680 B/op	     721 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	7235576935 ns/op	3563431664 B/op	     721 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	9823132750 ns/op	3563431664 B/op	     721 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	19397457400 ns/op	4811380448 B/op	    3105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	23936587235 ns/op	4811380448 B/op	    3105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	6084205324 ns/op	4811380448 B/op	    3105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	14340771555 ns/op	4811380432 B/op	    3105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	20369265668 ns/op	4811380448 B/op	    3105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	20077890100 ns/op	4811380432 B/op	    3105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	11979236016 ns/op	4811380432 B/op	    3105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	11612675001 ns/op	4811380448 B/op	    3105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	26985676436 ns/op	4811380432 B/op	    3105 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	9936528653 ns/op	4811380432 B/op	    3105 allocs/op
