goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	11210371519 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	17613871188 ns/op	3795668856 B/op	     771 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	5502215222 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	5428648546 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	6823267742 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	5126434786 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	5204856279 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	5422269741 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	5384980989 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=sweep-128         	       1	6773061871 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	5057037513 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	5094286509 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	5305697231 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	5451692117 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	6219641826 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	5323053479 ns/op	3795643896 B/op	     746 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=1/reduction=parallel-128      	       1	5127846197 ns/op	3795643896 B/op	     746 allocs/op
