goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	29397892185 ns/op	2468208056 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	18883922179 ns/op	2468208072 B/op	     409 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	10227356064 ns/op	2468208056 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	33703045508 ns/op	2468208040 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	17623315336 ns/op	2468208056 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	6624603792 ns/op	2468208488 B/op	     409 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	20178439046 ns/op	2468208040 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	28545179971 ns/op	2468208056 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	24821873899 ns/op	2468208104 B/op	     411 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=parallel-128      	       1	44962778274 ns/op	2468208040 B/op	     408 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	21289506697 ns/op	3702528352 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	39130549322 ns/op	3702528368 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	24150019809 ns/op	3702528368 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	19860805968 ns/op	3702528368 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	30413144362 ns/op	3702528368 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	26153056592 ns/op	3702528816 B/op	    2768 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	37810475487 ns/op	3702528352 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	21492953219 ns/op	3702528800 B/op	    2768 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	15422155812 ns/op	3702528352 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=2/reduction=mixed-128         	       1	32143411913 ns/op	3702528368 B/op	    2767 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	24697253870 ns/op	3292500000 B/op	    1997 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	30169161759 ns/op	3292500016 B/op	    1997 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	33566032112 ns/op	3292500896 B/op	    1999 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	17352673480 ns/op	3292500464 B/op	    1998 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	34949926958 ns/op	3292500016 B/op	    1997 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	33054482509 ns/op	3292500000 B/op	    1997 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	23644334570 ns/op	3292500912 B/op	    1999 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	23110535827 ns/op	3292500016 B/op	    1997 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	16885359830 ns/op	3292500016 B/op	    1997 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=sweep-128         	       1	14994300210 ns/op	3292500016 B/op	    1997 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	13571798905 ns/op	2469273640 B/op	     438 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=3/reduction=parallel-128      	       1	27631697243 ns/op	2469273640 B/op	     438 allocs/op
