goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	12452124962 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	14927209128 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=sweep-128            	       1	23930882761 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	11738508232 ns/op	5204036624 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	19481922054 ns/op	5204036624 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	10911972805 ns/op	5204036624 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	10405175987 ns/op	5204036608 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	14588021809 ns/op	5204036624 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	11138365919 ns/op	5204036608 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	15979651160 ns/op	5204036608 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	13864319898 ns/op	5204036608 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	10746358188 ns/op	5204036608 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=parallel-128         	       1	15149110939 ns/op	5204036624 B/op	    1422 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	13793678211 ns/op	7165037760 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	21029979458 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	14595952396 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	13663958275 ns/op	7165037760 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	13636037463 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	15129912109 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	9980263848 ns/op	7165037760 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	11682335950 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	20007310510 ns/op	7165037776 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=2/reduction=mixed-128            	       1	23425114490 ns/op	7165037760 B/op	    4150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	11505661510 ns/op	7167084856 B/op	    3277 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	13659450548 ns/op	7167084792 B/op	    3276 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	11450612810 ns/op	7167084792 B/op	    3276 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	15047615880 ns/op	7167084776 B/op	    3276 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	11784097797 ns/op	7167084792 B/op	    3276 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	16863596517 ns/op	7167084776 B/op	    3276 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	15811340215 ns/op	7167084856 B/op	    3277 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	17129927602 ns/op	7167084776 B/op	    3276 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	17070017857 ns/op	7167084856 B/op	    3277 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=sweep-128            	       1	14330980338 ns/op	7167084872 B/op	    3277 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	11758828533 ns/op	5856252984 B/op	    1464 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	17435610638 ns/op	5856253000 B/op	    1464 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	18139141367 ns/op	5856252984 B/op	    1464 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	14881514782 ns/op	5856252984 B/op	    1464 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	17127247260 ns/op	5856253000 B/op	    1464 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	12389448310 ns/op	5856253000 B/op	    1464 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	15916717757 ns/op	5856253000 B/op	    1464 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	16438756495 ns/op	5856252984 B/op	    1464 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	16975950877 ns/op	5856253000 B/op	    1464 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	17464167675 ns/op	5856252984 B/op	    1464 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	14289369432 ns/op	7167085320 B/op	    3288 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	12986889177 ns/op	7167085320 B/op	    3288 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	17418441013 ns/op	7167085320 B/op	    3288 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	15423089586 ns/op	7167085320 B/op	    3288 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	17259494375 ns/op	7167085304 B/op	    3288 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	17345573400 ns/op	7167085304 B/op	    3288 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	18593170019 ns/op	7167085304 B/op	    3288 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	18951906422 ns/op	7167085304 B/op	    3288 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	16430219986 ns/op	7167085304 B/op	    3288 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	18012427989 ns/op	7167085304 B/op	    3288 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	12895135583 ns/op	6184539088 B/op	    2833 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	15314521625 ns/op	6184539088 B/op	    2833 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	15466939042 ns/op	6184539168 B/op	    2834 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	17706929412 ns/op	6184539104 B/op	    2833 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	15991437006 ns/op	6184539088 B/op	    2833 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	15839295321 ns/op	6184539104 B/op	    2833 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	15777063270 ns/op	6184539088 B/op	    2833 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	19519777636 ns/op	6184539088 B/op	    2833 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	14832566494 ns/op	6184539168 B/op	    2834 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	16853860555 ns/op	6184539168 B/op	    2834 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	15669449844 ns/op	5204039840 B/op	    1494 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	15713316384 ns/op	5204039824 B/op	    1494 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	15474486005 ns/op	5204044816 B/op	    1499 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	14319947572 ns/op	5204039824 B/op	    1494 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	12215629410 ns/op	5204039840 B/op	    1494 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	12140859798 ns/op	5204039840 B/op	    1494 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	10670772538 ns/op	5204039824 B/op	    1494 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	15913620882 ns/op	5204039840 B/op	    1494 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	9851666194 ns/op	5204039840 B/op	    1494 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	13394676964 ns/op	5204039920 B/op	    1495 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	14583785059 ns/op	6184540512 B/op	    2862 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	16766034476 ns/op	6184540512 B/op	    2862 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	18425640637 ns/op	6184540512 B/op	    2862 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	11446115625 ns/op	6184540512 B/op	    2862 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	16673532287 ns/op	6184540512 B/op	    2862 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	11502811568 ns/op	6184540512 B/op	    2862 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	11461717620 ns/op	6184540512 B/op	    2862 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	15666890804 ns/op	6184540512 B/op	    2862 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	17571077096 ns/op	6184540512 B/op	    2862 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	14763900346 ns/op	6184540512 B/op	    2862 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	11086424068 ns/op	6309341688 B/op	    2584 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	12491356415 ns/op	6309341624 B/op	    2583 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	12950309321 ns/op	6309341608 B/op	    2583 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	13193622792 ns/op	6309341688 B/op	    2584 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	12540569511 ns/op	6309341768 B/op	    2585 allocs/op
